886	>50K
689	>50K
808	>50K
739	>50K
601	>50K
937	>50K
559	>50K
834	>50K
239	<=50K
995	>50K
758	>50K
415	<=50K
901	>50K
5	<=50K
62	<=50K
595	>50K
816	>50K
284	<=50K
999	>50K
351	<=50K
67	<=50K
760	>50K
816	>50K
52	<=50K
958	>50K
277	<=50K
675	>50K
258	<=50K
993	>50K
37	<=50K
675	>50K
597	>50K
701	>50K
563	>50K
650	>50K
958	>50K
75	<=50K
659	>50K
612	>50K
302	<=50K
963	>50K
214	<=50K
586	>50K
477	<=50K
323	<=50K
505	>50K
627	>50K
168	<=50K
242	<=50K
836	>50K
61	<=50K
128	<=50K
952	>50K
800	>50K
772	>50K
255	<=50K
932	>50K
98	<=50K
157	<=50K
374	<=50K
745	>50K
76	<=50K
914	>50K
290	<=50K
214	<=50K
195	<=50K
963	>50K
813	>50K
793	>50K
147	<=50K
980	>50K
841	>50K
823	>50K
422	<=50K
912	>50K
639	>50K
106	<=50K
371	<=50K
42	<=50K
126	<=50K
400	<=50K
763	>50K
4	<=50K
551	>50K
444	<=50K
856	>50K
23	<=50K
956	>50K
203	<=50K
102	<=50K
61	<=50K
553	>50K
61	<=50K
987	>50K
270	<=50K
451	<=50K
885	>50K
251	<=50K
485	<=50K
380	<=50K
527	>50K
283	<=50K
38	<=50K
705	>50K
597	>50K
215	<=50K
590	>50K
843	>50K
535	>50K
816	>50K
959	>50K
489	<=50K
701	>50K
709	>50K
743	>50K
167	<=50K
177	<=50K
10	<=50K
228	<=50K
320	<=50K
838	>50K
662	>50K
806	>50K
622	>50K
903	>50K
254	<=50K
528	>50K
82	<=50K
669	>50K
335	<=50K
612	>50K
327	<=50K
497	<=50K
449	<=50K
363	<=50K
289	<=50K
314	<=50K
190	<=50K
262	<=50K
459	<=50K
388	<=50K
362	<=50K
941	>50K
542	>50K
398	<=50K
533	>50K
473	<=50K
453	<=50K
605	>50K
36	<=50K
959	>50K
597	>50K
866	>50K
373	<=50K
763	>50K
658	>50K
980	>50K
433	<=50K
502	>50K
21	<=50K
972	>50K
716	>50K
406	<=50K
50	<=50K
716	>50K
215	<=50K
993	>50K
261	<=50K
170	<=50K
295	<=50K
646	>50K
796	>50K
975	>50K
166	<=50K
32	<=50K
312	<=50K
470	<=50K
56	<=50K
543	>50K
901	>50K
891	>50K
96	<=50K
213	<=50K
409	<=50K
946	>50K
400	<=50K
690	>50K
185	<=50K
665	>50K
200	<=50K
164	<=50K
703	>50K
451	<=50K
965	>50K
198	<=50K
888	>50K
882	>50K
163	<=50K
548	>50K
506	>50K
824	>50K
717	>50K
688	>50K
82	<=50K
106	<=50K
65	<=50K
92	<=50K
547	>50K
690	>50K
809	>50K
373	<=50K
763	>50K
87	<=50K
116	<=50K
969	>50K
271	<=50K
387	<=50K
843	>50K
893	>50K
935	>50K
489	<=50K
982	>50K
628	>50K
229	<=50K
217	<=50K
447	<=50K
920	>50K
894	>50K
9	<=50K
199	<=50K
374	<=50K
579	>50K
233	<=50K
205	<=50K
970	>50K
401	<=50K
507	>50K
77	<=50K
470	<=50K
436	<=50K
574	>50K
69	<=50K
120	<=50K
594	>50K
374	<=50K
578	>50K
367	<=50K
732	>50K
793	>50K
633	>50K
257	<=50K
936	>50K
560	>50K
257	<=50K
93	<=50K
769	>50K
816	>50K
478	<=50K
623	>50K
272	<=50K
132	<=50K
353	<=50K
630	>50K
92	<=50K
281	<=50K
514	>50K
742	>50K
164	<=50K
813	>50K
232	<=50K
906	>50K
174	<=50K
341	<=50K
191	<=50K
386	<=50K
808	>50K
170	<=50K
176	<=50K
748	>50K
755	>50K
703	>50K
342	<=50K
466	<=50K
711	>50K
666	>50K
540	>50K
984	>50K
641	>50K
908	>50K
869	>50K
777	>50K
370	<=50K
639	>50K
491	<=50K
613	>50K
201	<=50K
763	>50K
865	>50K
561	>50K
241	<=50K
413	<=50K
196	<=50K
603	>50K
333	<=50K
340	<=50K
764	>50K
975	>50K
151	<=50K
889	>50K
112	<=50K
547	>50K
712	>50K
810	>50K
279	<=50K
732	>50K
793	>50K
299	<=50K
283	<=50K
939	>50K
720	>50K
259	<=50K
736	>50K
288	<=50K
47	<=50K
910	>50K
739	>50K
393	<=50K
615	>50K
228	<=50K
61	<=50K
743	>50K
858	>50K
877	>50K
527	>50K
997	>50K
613	>50K
423	<=50K
103	<=50K
693	>50K
772	>50K
166	<=50K
736	>50K
297	<=50K
679	>50K
686	>50K
144	<=50K
315	<=50K
938	>50K
960	>50K
818	>50K
642	>50K
859	>50K
183	<=50K
620	>50K
473	<=50K
892	>50K
758	>50K
412	<=50K
446	<=50K
409	<=50K
943	>50K
507	>50K
636	>50K
571	>50K
290	<=50K
187	<=50K
285	<=50K
619	>50K
561	>50K
877	>50K
535	>50K
42	<=50K
365	<=50K
883	>50K
705	>50K
933	>50K
158	<=50K
676	>50K
11	<=50K
134	<=50K
139	<=50K
318	<=50K
616	>50K
549	>50K
76	<=50K
701	>50K
753	>50K
166	<=50K
993	>50K
649	>50K
358	<=50K
235	<=50K
354	<=50K
462	<=50K
195	<=50K
66	<=50K
945	>50K
870	>50K
998	>50K
850	>50K
455	<=50K
425	<=50K
281	<=50K
727	>50K
858	>50K
900	>50K
672	>50K
341	<=50K
16	<=50K
47	<=50K
672	>50K
0	<=50K
530	>50K
521	>50K
921	>50K
866	>50K
456	<=50K
510	>50K
418	<=50K
238	<=50K
629	>50K
216	<=50K
184	<=50K
706	>50K
679	>50K
27	<=50K
730	>50K
497	<=50K
157	<=50K
346	<=50K
636	>50K
366	<=50K
157	<=50K
488	<=50K
70	<=50K
557	>50K
761	>50K
89	<=50K
681	>50K
235	<=50K
765	>50K
119	<=50K
285	<=50K
702	>50K
208	<=50K
520	>50K
466	<=50K
606	>50K
